Probe;Gruppennummer;Probennummer;Standort;UTM_R;UTM_H;Humusauflage[cm];Oberboden[cm];Wurzelschicht[cm];Entnahmetiefe[cm];Volumen[cm^3];Ksat[cm/s];Wasserrgehalt[%];Lagerungsdichte[g/cm^3];Porositaet[-];Gluehverlust[%];pH_H2O;pH_CaCl2;Kies[%];gS[%];mS[%];fS[%];gU[%];mU[%];fU[%];Ton[%];Gesamt[%];Bodenart
G1P1;1;1;Trockenwiese;373036;5801731;0.5;9;7;9;249.05;31.06;Jul 25;01. Jan;0.58;Mrz 78;05. Mrz;Apr 82;0;2;46;44;01. Jun;0.8;01. Jan;04. Mai;100;mSfs
G1P2;1;2;Trockenwiese;373029;5801737;0.5;6;7;6;248.94;20. Aug;Jun 61;Jan 15;0.56;04. Feb;Apr 99;04. Aug;0;3;49;44;0;01. Jan;0;02. Sep;100;mSfs
G1P3;1;3;Trockenwiese;373042;5801737;0.5;7;3;7;249.84;16.49;Jul 38;Jan 21;0.54;Mrz 67;Apr 69;Apr 37;1;3;45;41;02. Aug;01. Feb;0;6;100;fSms
G1P4;1;4;Trockenwiese;373048;5801744;0.5;10;9;10;249.84;Sep 98;07. Mai;Jan 33;0.5;Mrz 53;Apr 35;04. Nov;0;4;43;44;01. Jun;02. Feb;0;05. Feb;100;fSms
G1P5;1;5;Trockenwiese;373048;5801757;0.5;10;8;10;249.22;Sep 23;Apr 49;Jan 45;0.45;Feb 99;05. Mai;Apr 84;2;4;43;44;02. Jan;0.2;0.9;03. Jul;100;fSms
G2P1;2;1;Kiefernwald;373140;5801733;8;7;13;14;247.34;24.48;Mrz 38;Jan 41;0.47;Feb 15;Mai 15;Apr 93;3;5;51;39;0.6;0;0.7;0.7;100;mSfs
G2P2;2;2;Kiefernwald;373128;5801746;4;5;7;9;249.46;16.92;03. Apr;Jan 56;0.41;Jan 82;Apr 83;Apr 42;1;6;51;41;0;0.4;0;0.6;100;mSfs
G2P3;2;3;Kiefernwald;373108;5801764;6;6;10;12;250.33;Nov 88;Feb 87;Jan 52;0.43;Jan 73;05. Sep;Apr 63;3;5;43;48;0.2;0;0;0.8;100;mSfs
G2P4;2;4;Kiefernwald;373121;5801765;5;4;8;9;249.29;31.32;Feb 34;Jan 61;0.39;01. Jan;Mai 27;Mai 22;1;5;51;43;0;0;0;0;100;mSfs
G2P5;2;5;Kiefernwald;373108;5801771;8;6;12;13;249.74;22.32;Mrz 69;Jan 35;0.49;02. Apr;Apr 21;Mrz 82;2;4;43;48;0.6;0.1;0;02. Mrz;100;mSfs
