Probe;Gruppennummer;Probennummer;Standort;UTM_R;UTM_H;Humusauflage[cm];Oberboden[cm];Wurzelschicht[cm];Entnahmetiefe[cm];Volumen[cm^3];Ksat[cm/s];Wassergehalt[%];Lagerungsdichte[g/cm^3];Porositaet[-];Gluehverlust[%];pH_H2O;pH_CaCl2;Kies[%];gS[%];mS[%];fS[%];gU[%];mU[%];fU[%];Ton[%];Gesamt[%];Bodenart
G1P1;1;1;Trockenwiese;373036;5801731;0.5;9;7;9;249.05;31.06;7.25;1.1;0.58;3.78;5.03;4.82;0;2;46;44;1.6;0.8;1.1;4.5;100;mSfs
G1P2;1;2;Trockenwiese;373029;5801737;0.5;6;7;6;248.94;20.08;6.61;1.15;0.56;4.02;4.99;4.8;0;3;49;44;0;1.1;0;2.9;100;mSfs
G1P3;1;3;Trockenwiese;373042;5801737;0.5;7;3;7;249.84;16.49;7.38;1.21;0.54;3.67;4.69;4.37;1;3;45;41;2.8;1.2;0;6;100;fSms
G1P4;1;4;Trockenwiese;373048;5801744;0.5;10;9;10;249.84;9.98;7.05;1.33;0.5;3.53;4.35;4.11;0;4;43;44;1.6;2.2;0;5.2;100;fSms
G1P5;1;5;Trockenwiese;373048;5801757;0.5;10;8;10;249.22;9.23;4.49;1.45;0.45;2.99;5.05;4.84;2;4;43;44;2.1;0.2;0.9;3.7;100;fSms
G2P1;2;1;Kiefernwald;373140;5801733;8;7;13;14;247.34;24.48;3.38;1.41;0.47;2.15;5.15;4.93;3;5;51;39;0.6;0;0.7;0.7;100;mSfs
G2P2;2;2;Kiefernwald;373128;5801746;4;5;7;9;249.46;16.92;3.4;1.56;0.41;1.82;4.83;4.42;1;6;51;41;0;0.4;0;0.6;100;mSfs
G2P3;2;3;Kiefernwald;373108;5801764;6;6;10;12;250.33;11.88;2.87;1.52;0.43;1.73;5.09;4.63;3;5;43;48;0.2;0;0;0.8;100;mSfs
G2P4;2;4;Kiefernwald;373121;5801765;5;4;8;9;249.29;31.32;2.34;1.61;0.39;1.01;5.27;5.22;1;5;51;43;0;0;0;0;100;mSfs
G2P5;2;5;Kiefernwald;373108;5801771;8;6;12;13;249.74;22.32;3.69;1.35;0.49;2.04;4.21;3.82;2;4;43;48;0.6;0.1;0;2.3;100;mSfs
G3P1;3;1;Kiefernwald;373108;5801758;5;9;5;9;248.5;29.36;2.6;1.37;0.48;1.64;4.99;4.55;0;3;42;51;1;0.6;0;2.4;100;fSms
G3P2;3;2;Kiefernwald;373134;5801759;8;11;13;10.5;248.97;32.44;3.1;1.37;0.48;1.52;4.87;4.58;0;4;49;45;0.4;0.5;0;1.1;100;mSfs
G3P3;3;3;Kiefernwald;373121;5801733;8;8;18;8;250.5;25.04;8.6;1.01;0.62;6.29;3.52;3.2;0;6;49;42;0.5;0.3;0;2.2;100;mSfs
G3P4;3;4;Kiefernwald;373115;5801771;5;7;14;7;248.97;34.3;8.1;0.95;0.64;6.64;4.05;4.08;0;3;41;52;1.2;0.3;0;2.6;100;fSms
G3P5;3;5;Kiefernwald;373103;5801771;9;10;12;10;247.63;29.83;3.6;1.25;0.53;2.8;4.39;4.19;1;3;48;45;0.6;0.2;0;2.2;100;mSfs
G4P1;4;1;Trockenwiese;373047;5801736;1;32;12;11;250.49;11.65;7.99;1.21;0.54;4.66;5.57;5.07;1;3;45;45;1.4;0.4;0.3;4;100;fSms
G4P2;4;2;Trockenwiese;373037;5801773;1;32;6;12;256;6.8;3.55;1.51;0.43;2.22;6.04;5.41;1;2;38;54;1.1;0.4;1.1;2.5;100;fSms
G4P3;4;3;Trockenwiese;373054;5801741;1;32;20;10;251.58;7.68;9.16;1.24;0.53;4.17;5.76;4.6;1;2;37;50;1.6;1.4;0.4;6.6;100;fSms
G4P4;4;4;Trockenwiese;373030;5801773;1;32;7;9;253.76;7.74;5.99;1.32;0.5;4.08;5.85;5.12;1;2;44;44;1.7;0.5;1.5;5.4;100;fSms
G4P5;4;5;Trockenwiese;373035;5801755;1;32;6;12;252.24;24.86;6.71;1.17;0.56;4.5;6.05;5.54;1;3;42;45;1.4;0.6;1.1;5.9;100;fSms
