,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,"(491.52112676056356, 616.1338028169014, 0)","(1171.4589371980692, 165.95652173913163, 0)","(1134.6493506493514, 807.298701298701, 0)","(357.26126126126263, 107.55855855855998, 0)","(215.64968152866305, 816.1464968152864, 0)","(931.5999999999997, 139.02352941176537, 0)","(1120.6296296296305, 587.8518518518518, 0)","(800.4709302325584, 945.313953488373, 0)","(102.48235294117785, 999.2882352941185, 0)","(469.5155279503107, 411.86956521739114, 0)","(899.4583333333331, 580.2430555555557, 0)","(1260.483333333334, 923.4055555555556, 0)","(746.6845637583892, 24.791946308725983, 0)","(667.9374999999999, 446.5937500000001, 0)","(376.8473282442752, 515.9312977099237, 0)","(149.88235294117794, 715.1699346405226, 0)","(1129.9496402877699, 793.8776978417266, 0)"
1,"(491.52112676056356, 616.1338028169014, '0.0')","(1171.4589371980692, 165.95652173913163, '0.0')","(1134.6602564102573, 807.1987179487176, '0.1005763684711268')","(357.26126126126263, 107.55855855855998, '0.0')","(215.64968152866305, 816.1464968152864, '0.0')","(931.5999999999997, 139.02352941176537, '0.0')","(1120.6296296296305, 587.8518518518518, '0.0')","(800.4709302325584, 945.313953488373, '0.0')","(102.48235294117785, 999.2882352941185, '0.0')","(469.5155279503107, 411.86956521739114, '0.0')","(899.4583333333331, 580.2430555555557, '0.0')","(1260.483333333334, 923.4055555555556, '0.0')","(746.6845637583892, 24.791946308725983, '0.0')","(667.9374999999999, 446.5937500000001, '0.0')","(376.8473282442752, 515.9312977099237, '0.0')","(149.88235294117794, 715.1699346405226, '0.0')","(1129.8686131386862, 793.7956204379561, '0.11533472633303404')"
2,"(493.96129032258085, 610.6774193548388, '5.977166443597434')","(1171.0445544554436, 166.1881188118806, '0.4747107134790224')","(1134.5714285714282, 807.11038961039, '0.12526883212811368')","(354.71111111110946, 107.8222222222227, '2.5637441986013925')","(215.58385093167624, 815.3913043478265, '0.7580562844590107')","(938.0769230769233, 139.41758241758163, '6.488899006440062')","(1120.3194444444432, 587.9027777777778, '0.3143378740162828')","(799.3764705882355, 944.3235294117634, '1.4760697018025677')","(102.61403508771741, 999.3684210526309, '0.1541750420316737')","(467.658064516129, 411.19354838709717, '1.9766560561116138')","(899.352941176471, 579.875, '0.38284774872453986')","(1262.67231638418, 924.7062146892658, '2.546244485314592')","(746.5866666666666, 25.22666666666612, '0.4456070355990266')","(667.875, 446.5468750000002, '0.07812499999984084')","(376.90839694656444, 515.9770992366413, '0.07633587786192493')","(146.7210884353725, 713.9931972789119, '3.3731741867083733')","(1129.9290780141841, 793.7234042553195, '0.09418693223369294')"
3,"(489.10062893081783, 605.9056603773585, '6.811439855459313')","(1165.6815920398017, 162.79104477611827, '6.34834449884683')","(1134.7467532467535, 806.8896103896101, '0.28192588761256326')","(358.2589285714291, 111.25446428571314, '4.936323967705335')","(215.49079754601274, 816.3558282208583, '0.9690021848436111')","(932.0869565217395, 140.74999999999932, '6.136369932309895')","(1120.4338235294122, 588.3088235294117, '0.4218479909852142')","(802.1676646706588, 947.3532934131729, '4.119494424075821')","(102.59649122807082, 999.3976608187124, '0.03409913388641566')","(462.34969325153423, 411.24539877300583, '5.308624487124169')","(899.3958333333337, 580.0069444444443, '0.13874103048509578')","(1261.4943181818187, 925.3181818181812, '1.327472610504416')","(746.6054421768706, 25.068027210883315, '0.15974666417326436')","(667.7938931297709, 446.51145038167954, '0.0885055251468561')","(376.52592592592646, 515.9555555555555, '0.38307729223040843')","(146.26000000000056, 714.2399999999997, '0.522985782187312')","(1129.8819444444448, 793.6597222222217, '0.07922736103035719')"
4,"(488.91719745222883, 596.0191082802547, '9.888253611031805')","(1168.5854922279807, 157.1917098445585, '6.307550077382798')","(1134.522012578617, 806.4905660377361, '0.4579789980740962')","(357.3822222222235, 109.79111111110973, '1.7058770578090703')","(215.57961783439526, 816.1783439490448, '0.19846841151555247')","(938.2931034482754, 138.2126436781603, '6.704806990341134')","(1119.7894736842113, 587.6842105263157, '0.8974007614477199')","(799.2254335260111, 945.670520231213, '3.3894615635021563')","(102.59763313609585, 999.3136094674549, '0.08405910778829162')","(466.70658682634723, 413.6646706586828, '4.983512624552456')","(899.1267605633797, 580.1760563380282, '0.3178033795953871')","(1262.3276836158198, 923.7966101694915, '1.734842421859708')","(746.7534246575342, 24.986301369861962, '0.16905007445723305')","(667.8650793650794, 446.4682539682537, '0.08326710172840206')","(376.7906976744187, 516.046511627907, '0.279959078969133')","(144.791666666668, 714.8541666666669, '1.5916040563596872')","(1129.7761194029845, 793.2611940298506, '0.4123392529394835')"
5,"(486.56375838926124, 597.3959731543624, '2.72661554030879')","(1178.1804878048774, 147.83902439024536, '13.39912927499352')","(1134.3774834437081, 807.1854304635758, '0.7097360362381417')","(352.7321428571421, 108.2276785714306, '4.90586989306519')","(216.12422360248377, 815.4534161490683, '0.9067059930396699')","(942.6282722513083, 139.2670157068066, '4.461545575871876')","(1120.5539568345316, 588.0863309352517, '0.8637912423765798')","(801.4593023255811, 947.2906976744196, '2.7595551745105107')","(102.69005847953133, 999.2748538011713, '0.10022198251007806')","(467.466666666666, 414.6242424242421, '1.22413207494846')","(899.6275862068959, 580.2896551724137, '0.5135474860002879')","(1261.945355191256, 926.5737704918033, '2.8033541481683075')","(746.6535947712418, 25.235294117648664, '0.26825993858106423')","(667.90625, 446.68749999999983, '0.223078111019872')","(377.09374999999926, 515.9453125, '0.3195027003468224')","(146.9103448275854, 714.9310344827583, '2.1200721239380016')","(1130.367346938775, 793.6870748299316, '0.7286456305739768')"
6,"(489.74834437086093, 599.2582781456953, '3.689141872433824')","(1182.1891891891873, 156.1261261261257, '9.205745052378946')","(1134.0800000000004, 807.3000000000004, '0.3187829637178862')","(362.3198198198193, 110.36036036035938, '9.822010036315374')","(215.75155279503127, 815.9627329192554, '0.6310999153233045')","(947.5668449197863, 140.65775401069612, '5.130658148010143')","(1120.1408450704232, 588.4647887323943, '0.5602603268684743')","(802.8654970760232, 945.7894736842115, '2.056953364796323')","(102.60588235293926, 999.3235294117649, '0.09723649188809223')","(469.9333333333338, 415.1939393939398, '2.5316001030440543')","(899.1041666666669, 580.0555555555554, '0.5733852506882198')","(1261.6229508196725, 924.9453551912577, '1.6600243883350876')","(746.8851351351352, 25.148648648648873, '0.24722131261294877')","(667.9126984126984, 446.61904761904754, '0.06875543967110773')","(376.80916030534405, 515.9236641221373, '0.28541188932493855')","(148.0204081632645, 713.2789115646264, '1.99041471704661')","(1129.9357142857148, 793.8214285714294, '0.45205937114746236')"
7,"(501.9554140127391, 612.0191082802546, '17.65931298110832')","(1185.6954545454525, 159.82727272727476, '5.098272541924637')","(1133.5225806451617, 807.2129032258063, '0.564182758708357')","(364.54464285714226, 117.9732142857165, '7.931291347329775')","(215.4534161490688, 815.6894409937888, '0.40444274772946553')","(941.4000000000003, 134.24571428571528, '8.896304271967216')","(1120.579710144928, 588.6594202898549, '0.48008748867223267')","(801.616766467066, 947.4610778443127, '2.0865254855415145')","(102.61309523809325, 999.3035714285733, '0.02122137614107393')","(470.5515151515157, 410.412121212121, '4.821611129519188')","(899.3496503496508, 580.0349650349649, '0.2463457086079462')","(1263.1797752808993, 925.1460674157304, '1.5697094636036837')","(746.6754966887415, 24.68211920529984, '0.5114665186675609')","(667.8888888888888, 446.5238095238094, '0.09816918156238565')","(377.1023622047249, 515.9291338582676, '0.29325291441667095')","(145.55862068965428, 715.6344827586205, '3.4072148765816346')","(1129.7571428571432, 793.5785714285712, '0.30144211208673904')"
8,"(505.0000000000001, 619.0204081632653, '7.634638425339585')","(1177.787330316744, 153.75565610859593, '9.97010316801714')","(1133.2549019607839, 807.5555555555559, '0.4348131749994632')","(358.49099099099135, 115.18918918918735, '6.663144652088576')","(215.14110429447805, 815.6319018404911, '0.31756802213090024')","(939.5133689839569, 140.60962566844967, '6.637676150430468')","(1120.3602941176464, 587.7647058823529, '0.921225957091754')","(801.936046511628, 947.5290697674423, '0.3264393488327613')","(102.52380952381122, 999.3035714285709, '0.08928571428202758')","(471.4939759036139, 416.530120481928, '6.190165372153197')","(899.5328467153282, 579.7226277372264, '0.36209873785475705')","(1262.2320441988945, 924.5248618784534, '1.133177180912833')","(746.5655172413792, 25.17241379310292, '0.5024781205894555')","(667.6718749999999, 446.7109375, '0.2865517535173672')","(376.843283582089, 515.9253731343284, '0.2591059160873557')","(146.34210526315883, 713.3750000000003, '2.391466163971663')","(1129.7464788732389, 794.0140845070425, '0.43564361819299957')"
9,"(502.96815286624224, 625.3375796178344, '6.635891647803107')","(1172.462555066078, 147.10572687224732, '8.519083889629677')","(1134.7272727272725, 807.2597402597398, '1.5017930494076612')","(362.0394088669934, 122.42857142857287, '8.062253074089252')","(215.62345679012196, 815.3209876543208, '0.5738741684514499')","(946.8775510204084, 143.11734693877543, '7.779450047120296')","(1120.4397163120555, 588.6595744680851, '0.8983861478757723')","(800.9768786127169, 947.8323699421967, '1.0059791520243568')","(102.64071856287205, 999.3053892215582, '0.11692317043884565')","(468.7710843373489, 419.2108433734934, '3.821048770036791')","(899.4055944055947, 580.2097902097902, '0.5035081181142869')","(1262.0714285714275, 924.6703296703299, '0.21669854235791522')","(746.5999999999999, 25.200000000001296, '0.04415947750068324')","(667.9999999999999, 446.65625, '0.3326510758756839')","(376.92366412213676, 516.0076335877862, '0.11501223161671713')","(145.59602649006433, 713.4238410596021, '0.7476757216636151')","(1129.9929577464777, 793.8732394366192, '0.28388231508082323')"
