"dp 1","dp 2","dp 3","dp 4","dp 5","dp 6","dp 7","dp 8","dp 9","dp 10","dp 11","dp 12","dp 13","dp 14","dp 15","dp 16","dp 17"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,2.00572398607268e-08,0,0,0,0,0,0,0,0,0,0,0,1.73581176261498e-08
4.21646773338547e-07,3.92922342520353e-08,2.47082007013952e-07,5.93388391848778e-08,3.29686084060658e-08,5.57008794498783e-08,3.20468024825174e-07,1.84508712725321e-07,9.47570355573763e-08,8.11112375805008e-07,1.92718802539592e-08,4.78559685905675e-08,3.18280560664324e-07,7.47145805449679e-07,9.7656249999801e-09,9.54198473274062e-09,3.62625008527388e-08
6.5373222773414e-08,5.27309988731518e-08,6.63578060890521e-07,7.93543062355854e-07,3.09844614213974e-08,1.9968333021658e-08,6.17040495963167e-07,5.14936803009478e-07,1.21125273105451e-07,7.67046241538737e-07,4.26239173580196e-09,1.7342628810637e-08,1.65934076313052e-07,8.51429981932414e-07,1.1063190643357e-08,4.78846615288011e-08,5.4236119728369e-08
1.98950507044961e-07,1.12175095180965e-07,6.22939078069057e-07,7.8844375967285e-07,2.2397308676494e-08,2.11312593071541e-08,2.13234632226134e-07,4.2368269543777e-07,2.48085514394441e-08,8.38100873792642e-07,1.05073884735365e-08,3.97254224494234e-08,2.16855302732463e-07,1.23603170137898e-06,1.04083877160503e-08,3.49948848711416e-08,2.54663624387285e-08
2.6500901549225e-07,1.07973905297072e-07,1.53016509368558e-07,1.67489115937419e-06,7.48733957277592e-08,3.3532492322633e-08,6.13233736633149e-07,3.44944396813814e-07,1.13338249129959e-07,5.57693196983984e-07,1.25277478137598e-08,6.4193435750036e-08,3.50419268521038e-07,3.40826942538599e-07,2.7884763877484e-08,3.99378375433528e-08,7.68400795927199e-08
2.48801839630826e-07,7.00325408585593e-08,3.16450012880507e-07,1.15071813154737e-06,7.66467917106743e-08,3.09026640766186e-08,1.22775125453942e-06,2.5711917059954e-07,7.88874894154131e-08,6.41332268501268e-07,1.21545614860115e-08,7.16731563360275e-08,2.07503048541886e-07,4.61142734054228e-07,8.59442995888847e-09,3.56764861656173e-08,6.58576586483281e-08
4.25901859572704e-07,6.00109360840291e-08,6.02701391189898e-07,6.3728406774058e-07,2.33742711527236e-08,6.39333148334451e-08,9.91411418416222e-07,2.60815685692689e-07,5.05553434661832e-08,1.1120380339959e-06,2.65267201763424e-09,3.07932135759933e-08,1.9621368295046e-07,2.20741412263854e-06,1.22711476952982e-08,3.66566143020839e-08,6.19956446827577e-08
2.98933270496458e-07,1.15153244636469e-07,7.7377067151915e-07,1.24626289600214e-06,1.72902265601266e-08,6.28097650736819e-08,8.32893081511072e-07,4.08049186040952e-08,3.96960027663625e-08,8.29709518803808e-07,1.11607142852534e-08,4.52623422318446e-08,1.41647147614104e-07,9.54329803167448e-07,3.58189691896709e-08,3.23882395109195e-08,4.82013289227335e-08
9.34594652079519e-08,1.12298268484472e-07,4.77631096254599e-07,1.06488548620371e-06,4.35867531665729e-08,5.5199346875854e-09,1.00778163426116e-06,1.25747394003045e-07,7.17342710564312e-08,9.72431255890037e-07,1.46153963048557e-08,6.29385147642859e-08,2.70873177947394e-08,8.29486455975388e-07,4.15813844844605e-08,1.43765289520896e-08,1.88061199389379e-07
