,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,"(793.2142857142858, 1129.7777777777776, 0)","(616.1338028169014, 491.52112676056356, 0)","(139.02352941176537, 931.5999999999997, 0)","(999.2882352941185, 102.48235294117785, 0)","(107.55855855855998, 357.26126126126263, 0)","(945.313953488373, 800.4709302325584, 0)","(715.1699346405226, 149.88235294117794, 0)","(580.2430555555557, 899.4583333333331, 0)","(165.95652173913163, 1171.4589371980692, 0)","(411.86956521739114, 469.5155279503107, 0)","(24.791946308725983, 746.6845637583892, 0)","(923.4055555555556, 1260.483333333334, 0)","(446.5937500000001, 667.9374999999999, 0)","(587.8518518518518, 1120.6296296296305, 0)","(515.9312977099237, 376.8473282442752, 0)","(816.1464968152864, 215.64968152866305, 0)","(806.7544910179638, 1134.4131736526956, 0)"
1,"(794.0839160839159, 1129.9930069930072, '0.8958686258996998')","(616.1338028169014, 491.52112676056356, '0.0')","(139.02352941176537, 931.5999999999997, '0.0')","(999.2882352941185, 102.48235294117785, '0.0')","(107.55855855855998, 357.26126126126263, '0.0')","(945.313953488373, 800.4709302325584, '0.0')","(715.1699346405226, 149.88235294117794, '0.0')","(580.2430555555557, 899.4583333333331, '0.0')","(165.95652173913163, 1171.4589371980692, '0.0')","(411.86956521739114, 469.5155279503107, '0.0')","(24.791946308725983, 746.6845637583892, '0.0')","(923.4055555555556, 1260.483333333334, '0.0')","(446.5937500000001, 667.9374999999999, '0.0')","(587.8518518518518, 1120.6296296296305, '0.0')","(515.9312977099237, 376.8473282442752, '0.0')","(816.1464968152864, 215.64968152866305, '0.0')","(807.4599999999996, 1134.733333333334, '0.7747548933951062')"
2,"(794.1400000000003, 1130.1133333333328, '0.13275478831107182')","(610.6774193548388, 493.96129032258085, '5.977166443597434')","(139.41758241758163, 938.0769230769233, '6.488899006440062')","(999.3684210526309, 102.61403508771741, '0.1541750420316737')","(107.8222222222227, 354.71111111110946, '2.5637441986013925')","(944.3235294117634, 799.3764705882355, '1.4760697018025677')","(713.9931972789119, 146.7210884353725, '3.3731741867083733')","(579.875, 899.352941176471, '0.38284774872453986')","(166.1881188118806, 1171.0445544554436, '0.4747107134790224')","(411.19354838709717, 467.658064516129, '1.9766560561116138')","(25.22666666666612, 746.5866666666666, '0.4456070355990266')","(924.7062146892658, 1262.67231638418, '2.546244485314592')","(446.5468750000002, 667.875, '0.07812499999984084')","(587.9027777777778, 1120.3194444444432, '0.3143378740162828')","(515.9770992366413, 376.90839694656444, '0.07633587786192493')","(815.3913043478265, 215.58385093167624, '0.7580562844590107')","(807.5103448275866, 1134.668965517241, '0.08171791366241518')"
3,"(793.7172413793098, 1129.8689655172418, '0.4883036769359884')","(605.9056603773585, 489.10062893081783, '6.811439855459313')","(140.74999999999932, 932.0869565217395, '6.136369932309895')","(999.3976608187124, 102.59649122807082, '0.03409913388641566')","(111.25446428571314, 358.2589285714291, '4.936323967705335')","(947.3532934131729, 802.1676646706588, '4.119494424075821')","(714.2399999999997, 146.26000000000056, '0.522985782187312')","(580.0069444444443, 899.3958333333337, '0.13874103048509578')","(162.79104477611827, 1165.6815920398017, '6.34834449884683')","(411.24539877300583, 462.34969325153423, '5.308624487124169')","(25.068027210883315, 746.6054421768706, '0.15974666417326436')","(925.3181818181812, 1261.4943181818187, '1.327472610504416')","(446.51145038167954, 667.7938931297709, '0.0885055251468561')","(588.3088235294117, 1120.4338235294122, '0.4218479909852142')","(515.9555555555555, 376.52592592592646, '0.38307729223040843')","(816.3558282208583, 215.49079754601274, '0.9690021848436111')","(806.9215686274507, 1134.790849673203, '0.6012596455117689')"
4,"(793.9121621621621, 1130.047297297297, '0.26418996075818546')","(596.0191082802547, 488.91719745222883, '9.888253611031805')","(138.2126436781603, 938.2931034482754, '6.704806990341134')","(999.3136094674549, 102.59763313609585, '0.08405910778829162')","(109.79111111110973, 357.3822222222235, '1.7058770578090703')","(945.670520231213, 799.2254335260111, '3.3894615635021563')","(714.8541666666669, 144.791666666668, '1.5916040563596872')","(580.1760563380282, 899.1267605633797, '0.3178033795953871')","(157.1917098445585, 1168.5854922279807, '6.307550077382798')","(413.6646706586828, 466.70658682634723, '4.983512624552456')","(24.986301369861962, 746.7534246575342, '0.16905007445723305')","(923.7966101694915, 1262.3276836158198, '1.734842421859708')","(446.4682539682537, 667.8650793650794, '0.08326710172840206')","(587.6842105263157, 1119.7894736842113, '0.8974007614477199')","(516.046511627907, 376.7906976744187, '0.279959078969133')","(816.1783439490448, 215.57961783439526, '0.19846841151555247')","(807.1034482758624, 1134.7034482758625, '0.20179001651083703')"
5,"(793.4577464788729, 1130.2746478873232, '0.5081160339965995')","(597.3959731543624, 486.56375838926124, '2.72661554030879')","(139.2670157068066, 942.6282722513083, '4.461545575871876')","(999.2748538011713, 102.69005847953133, '0.10022198251007806')","(108.2276785714306, 352.7321428571421, '4.90586989306519')","(947.2906976744196, 801.4593023255811, '2.7595551745105107')","(714.9310344827583, 146.9103448275854, '2.1200721239380016')","(580.2896551724137, 899.6275862068959, '0.5135474860002879')","(147.83902439024536, 1178.1804878048774, '13.39912927499352')","(414.6242424242421, 467.466666666666, '1.22413207494846')","(25.235294117648664, 746.6535947712418, '0.26825993858106423')","(926.5737704918033, 1261.945355191256, '2.8033541481683075')","(446.68749999999983, 667.90625, '0.223078111019872')","(588.0863309352517, 1120.5539568345316, '0.8637912423765798')","(515.9453125, 377.09374999999926, '0.3195027003468224')","(815.4534161490683, 216.12422360248377, '0.9067059930396699')","(806.9615384615381, 1134.3333333333326, '0.39638802464940903')"
6,"(793.0560000000007, 1129.7280000000005, '0.6783982208117538')","(599.2582781456953, 489.74834437086093, '3.689141872433824')","(140.65775401069612, 947.5668449197863, '5.130658148010143')","(999.3235294117649, 102.60588235293926, '0.09723649188809223')","(110.36036036035938, 362.3198198198193, '9.822010036315374')","(945.7894736842115, 802.8654970760232, '2.056953364796323')","(713.2789115646264, 148.0204081632645, '1.99041471704661')","(580.0555555555554, 899.1041666666669, '0.5733852506882198')","(156.1261261261257, 1182.1891891891873, '9.205745052378946')","(415.1939393939398, 469.9333333333338, '2.5316001030440543')","(25.148648648648873, 746.8851351351352, '0.24722131261294877')","(924.9453551912577, 1261.6229508196725, '1.6600243883350876')","(446.61904761904754, 667.9126984126984, '0.06875543967110773')","(588.4647887323943, 1120.1408450704232, '0.5602603268684743')","(515.9236641221373, 376.80916030534405, '0.28541188932493855')","(815.9627329192554, 215.75155279503127, '0.6310999153233045')","(806.654545454546, 1133.8606060606064, '0.5636628253851543')"
7,"(793.7342657342656, 1129.7692307692312, '0.6795177573906462')","(612.0191082802546, 501.9554140127391, '17.65931298110832')","(134.24571428571528, 941.4000000000003, '8.896304271967216')","(999.3035714285733, 102.61309523809325, '0.02122137614107393')","(117.9732142857165, 364.54464285714226, '7.931291347329775')","(947.4610778443127, 801.616766467066, '2.0865254855415145')","(715.6344827586205, 145.55862068965428, '3.4072148765816346')","(580.0349650349649, 899.3496503496508, '0.2463457086079462')","(159.82727272727476, 1185.6954545454525, '5.098272541924637')","(410.412121212121, 470.5515151515157, '4.821611129519188')","(24.68211920529984, 746.6754966887415, '0.5114665186675609')","(925.1460674157304, 1263.1797752808993, '1.5697094636036837')","(446.5238095238094, 667.8888888888888, '0.09816918156238565')","(588.6594202898549, 1120.579710144928, '0.48008748867223267')","(515.9291338582676, 377.1023622047249, '0.29325291441667095')","(815.6894409937888, 215.4534161490688, '0.40444274772946553')","(807.3355263157893, 1133.5855263157898, '0.7344411476680548')"
8,"(793.7664233576645, 1129.6861313868608, '0.08910454586050676')","(619.0204081632653, 505.0000000000001, '7.634638425339585')","(140.60962566844967, 939.5133689839569, '6.637676150430468')","(999.3035714285709, 102.52380952381122, '0.08928571428202758')","(115.18918918918735, 358.49099099099135, '6.663144652088576')","(947.5290697674423, 801.936046511628, '0.3264393488327613')","(713.3750000000003, 146.34210526315883, '2.391466163971663')","(579.7226277372264, 899.5328467153282, '0.36209873785475705')","(153.75565610859593, 1177.787330316744, '9.97010316801714')","(416.530120481928, 471.4939759036139, '6.190165372153197')","(25.17241379310292, 746.5655172413792, '0.5024781205894555')","(924.5248618784534, 1262.2320441988945, '1.133177180912833')","(446.7109375, 667.6718749999999, '0.2865517535173672')","(587.7647058823529, 1120.3602941176464, '0.921225957091754')","(515.9253731343284, 376.843283582089, '0.2591059160873557')","(815.6319018404911, 215.14110429447805, '0.31756802213090024')","(807.341772151899, 1133.1962025316452, '0.38937388121108923')"
9,"(793.5851851851845, 1129.748148148147, '0.19155509349616534')","(625.3375796178344, 502.96815286624224, '6.635891647803107')","(143.11734693877543, 946.8775510204084, '7.779450047120296')","(999.3053892215582, 102.64071856287205, '0.11692317043884565')","(122.42857142857287, 362.0394088669934, '8.062253074089252')","(947.8323699421967, 800.9768786127169, '1.0059791520243568')","(713.4238410596021, 145.59602649006433, '0.7476757216636151')","(580.2097902097902, 899.4055944055947, '0.5035081181142869')","(147.10572687224732, 1172.462555066078, '8.519083889629677')","(419.2108433734934, 468.7710843373489, '3.821048770036791')","(25.200000000001296, 746.5999999999999, '0.04415947750068324')","(924.6703296703299, 1262.0714285714275, '0.21669854235791522')","(446.65625, 667.9999999999999, '0.3326510758756839')","(588.6595744680851, 1120.4397163120555, '0.8983861478757723')","(516.0076335877862, 376.92366412213676, '0.11501223161671713')","(815.3209876543208, 215.62345679012196, '0.5738741684514499')","(806.9192546583845, 1134.726708074534, '1.5877557271629825')"
