Name;Masse [g];n Gewichte;Sollwert;Gesamtmasse
5g;4,8;0;0;0
10g (2x);10;1;5;4,8
20g;19,8;1;10;10
50g;49,9;2;15;14,8
100g (2x);99,5;1;20;19,8
200g;198,5;2;25;24,6
;;2;30;29,8
;;3;35;34,6
;;3;40;39,8
;;4;45;44,6
;;1;50;49,9
;;2;55;54,7
;;2;60;59,9
;;3;65;64,7
;;2;70;69,9
;;3;75;74,7
;;3;80;79,7
;;4;85;84,5
;;4;90;89,7
;;5;95;94,5
;;1;100;99,5
;;2;110;109,5
;;2;120;119,3
;;3;130;129,3
;;4;140;139,3
;;2;150;149,4
;;3;160;159,4
;;3;170;169,2
;;4;180;179,2
;;5;190;189,2
;;1;200;198,5
;;2;210;208,5
;;2;220;218,3
;;3;230;228,3
;;4;240;238,3
;;2;250;248,4
;;3;260;258,4
;;3;270;268,2
;;4;280;278,2
;;5;290;288,2
;;2;300;298
;;3;310;308
;;3;320;317,8
;;4;330;327,8
;;5;340;337,8
;;3;350;347,9
;;4;360;357,9
;;4;370;377,7
;;5;380;387,7
;;6;390;397,7
;;4;400;399
;;5;410;409
;;5;420;418,8
;;6;430;428,8
;;7;440;438,8
;;5;450;448,9
;;6;460;458,9
;;6;470;468,7
;;7;480;478,7
;;8;490;488,7
