n Gewichte;Gewicht;Gewicht [g];Auslenkung1 [cm];Auslenkung2 [cm];Oberkante am Ende:;Unterkante Gummiband am Ende (ohne Gewicht):
0;0;0;11,2;15,8;4,4cm;11,6
1;5;4,8;13;16,5;;16,4
1;10;10;13,3;16,7;;
2;15;14,8;13,5;16,9;;
1;20;19,8;13,6;17;;
2;25;24,6;13,8;17;;
2;30;29,8;13,8;17,3;;
3;35;34,6;13,9;17,4;;
3;40;39,8;14;17,7;;
4;45;44,6;14,1;17,9;;
1;50;49,9;14;18;;
2;55;54,7;14,1;18,3;;
2;60;59,9;14,2;18,5;;
3;65;64,7;14,3;18,8;;
2;70;69,9;14,4;19;;
3;75;74,7;14,5;19,3;;
3;80;79,7;14,5;19,7;;
4;85;84,5;14,6;20,3;;
4;90;89,7;14,6;20,5;;
5;95;94,5;14,7;21;;
1;100;99,5;14,8;21,5;;
2;110;109,5;15,1;22,3;;
2;120;119,3;15,3;23,4;;
3;130;129,3;15,4;24,5;;
4;140;139,3;15,6;25,9;;
2;150;149,4;15,8;26,6;;
3;160;159,4;16;27,9;;
3;170;169,2;16,4;28,7;;
4;180;179,2;16,6;30,2;;
5;190;189,2;16,9;31,1;;
1;200;198,5;17,3;32,2;;
2;210;208,5;17,5;33,4;;
2;220;218,3;17,8;34;;
3;230;228,3;18,2;34,9;;
4;240;238,3;18,5;35,8;;
2;250;248,4;18,9;36,5;;
3;260;258,4;19,3;37,1;;
3;270;268,2;19,8;37,7;;
4;280;278,2;20;38,1;;
5;290;288,2;20,3;39;;
2;300;298;20,9;39,6;;
3;310;308;21,2;40,1;;
3;320;317,8;21,5;40,7;;
4;330;327,8;22;41;;
5;340;337,8;22,3;41,8;;
3;350;347,9;22,7;42;;
4;360;357,9;23;;;
4;370;377,7;23,3;;;
5;380;387,7;23,6;;;
6;390;397,7;23,9;;;
4;400;399;24,5;44,7;;
5;410;409;24,7;;;
5;420;418,8;25;;;
6;430;428,8;25,2;;;
7;440;438,8;25,5;;;
5;450;448,9;25,7;;;
6;460;458,9;26,1;;;
6;470;468,7;26,2;;;
7;480;478,7;26,5;;;
8;490;488,7;26,8;;;
