Kaloriemeter leer;Raumtemperatur °C;Messunsicherheit Thermometer;Masse K alles g;Spannung U in V;Strom I in mA;Messunsicherheit Stoppuhr;;;Zeit t in s;Temperatur T in °C;A;V
165,1;20;digitale Skala;328,8;;;hatten wir schon…;;;0;19,6;;
;Temperatur im Kaloriemeter;;;;;;;;30;19,6;;
;19,6;;;;;;;1;60;20,3;2,2;5,7
;;;;;;;;;90;20,9;;
;;;;;;;;2;120;21,4;;
;;;;;;;;;150;21,9;2,2;5,69
;;;;;;;;3;180;22,4;;
;;;;;;;;;210;22,9;;
;;;;;;;;4;240;23,3;;
;;;;;;;;;270;23,7;2,2;5,7
;;;;;;;;5;300;24,3;;
;;;;;;;;;330;24,8;;
;;;;;;;;6;360;25,2;;
;;;;;;;;;390;25,7;;
;;;;;;;;7;420;26,2;2,21;5,7
